Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2025 15:15:57,14.367362,70.76734,4.0114474,56.39489,0.15344195,1.5742623,6.757369,-16.789118,-97.366745,7.086016,0.03251037,17732.125,0.99921995,0.045998774,0.000422897,0.033080794,725.7347,9.775079,3.4052496,2.348566,0,67,967.5672,21.164059,42.05031634,-78.87134919,
10/7/2025 15:15:59,14.357232,70.7887,4.0116005,56.39842,0.15036027,1.5419334,6.757894,-16.817657,-97.72041,7.0860376,0.03252043,17731.012,0.99922144,0.04601265,0.000383848,0.033004414,725.7348,9.775107,3.405229,2.300392,0,67,967.5674,21.16321,42.05031634,-78.87134919,
10/7/2025 15:16:01,14.347102,70.81004,4.0117536,56.40195,0.14727859,1.5096046,6.7584195,-16.846199,-98.07409,7.0860586,0.032530487,17729.898,0.99922293,0.04602653,0.000344798,0.032928035,725.7349,9.775137,3.4052086,2.2522178,0,67,967.56757,21.16236,42.05031634,-78.87134919,
10/7/2025 15:16:03,14.336972,70.8314,4.0119066,56.405483,0.14419693,1.4772757,6.758945,-16.874739,-98.42776,7.0860796,0.032540545,17728.785,0.9992244,0.046040412,0.000305749,0.032851655,725.7351,9.775166,3.405188,2.2040436,0,67,967.56775,21.161509,42.05031634,-78.87134919,
10/7/2025 15:16:05,14.326842,70.85275,4.0120597,56.40901,0.14111525,1.444947,6.75947,-16.90328,-98.781425,7.0861006,0.0325506,17727.674,0.9992259,0.04605429,0.000266699,0.032775275,725.7352,9.775195,3.4051678,2.1558695,0,67,967.5679,21.16066,42.05031637,-78.87134919,
10/7/2025 15:16:07,14.22459,71.15121,3.9036813,56.507153,0.10864654,1.1108212,6.7938886,-18.801884,-108.50157,7.945111,0.03269193,17696.902,0.99924034,0.046248283,4.13E-05,0.1268037,725.7103,10.995794,2.5461419,1.6574247,0,67,967.5347,21.144243,42.05031635,-78.87134919,
10/7/2025 15:16:09,14.21953,71.1649,3.9014664,56.511227,0.10712697,1.0950782,6.7949066,-18.85793,-108.82948,7.965282,0.03269841,17695.621,0.99924105,0.046257187,3.73E-05,0.12897839,725.70996,11.024456,2.5259707,1.6339496,0,67,967.5342,21.14359,42.05031634,-78.87134919,
10/7/2025 15:16:11,14.214469,71.178604,3.8992515,56.515297,0.10560741,1.0793352,6.795924,-18.913977,-109.1574,7.9854527,0.032704893,17694.342,0.99924177,0.04626609,3.33E-05,0.13115309,725.70953,11.053118,2.5057995,1.6104746,0,67,967.5336,21.14294,42.05031634,-78.87134919,
10/7/2025 15:16:13,14.209409,71.1923,3.8970363,56.51937,0.104087844,1.0635921,6.796942,-18.970022,-109.48531,8.005624,0.032711376,17693.06,0.9992425,0.046274994,2.93E-05,0.1333278,725.7091,11.0817795,2.4856281,1.5869995,0,67,967.5331,21.142288,42.05031634,-78.87134919,
10/7/2025 15:16:15,14.204349,71.20599,3.8948214,56.523445,0.102568276,1.047849,6.7979603,-19.026068,-109.81323,8.025795,0.032717858,17691.781,0.99924326,0.046283897,2.53E-05,0.1355025,725.70874,11.110441,2.465457,1.5635245,0,67,967.5326,21.141636,42.05031634,-78.87134919,
10/7/2025 15:16:17,14.199288,71.219696,3.8926065,56.527515,0.101048715,1.032106,6.798978,-19.082113,-110.14114,8.045966,0.03272434,17690.502,0.999244,0.0462928,2.13E-05,0.1376772,725.7083,11.139102,2.4452856,1.5400494,0,67,967.53204,21.140984,42.0503226,-78.87134858,
10/7/2025 15:16:19,14.194228,71.23339,3.8903916,56.53159,0.09952915,1.016363,6.799996,-19.138159,-110.469055,8.066137,0.03273082,17689.22,0.9992447,0.046301704,1.72E-05,0.1398519,725.7079,11.167764,2.4251144,1.5165744,0,67,967.5315,21.140331,42.05032264,-78.87134857,
10/7/2025 15:16:21,13.484483,73.57569,4.39918,57.386543,0.07985959,0.80384755,6.861108,-22.462475,-120.57087,8.062988,0.033839542,17426.469,0.9993422,0.047824197,0.027825724,0.29466745,725.7077,11.163312,2.4282475,1.2003067,0,67,967.5312,21.123919,42.05032264,-78.87134857,
10/7/2025 15:16:23,13.466622,73.63403,4.4100237,57.40766,0.07901811,0.79494095,6.8629,-22.560225,-120.91236,8.07163,0.03386716,17419.97,0.99934465,0.047862124,0.028475428,0.2992534,725.70746,11.175591,2.4196055,1.1870385,0,67,967.5309,21.123352,42.05032264,-78.87134857,
10/7/2025 15:16:25,13.448763,73.69238,4.4208674,57.42878,0.07817662,0.7860343,6.8646917,-22.657974,-121.25385,8.080271,0.03389478,17413.475,0.9993471,0.04790005,0.02912513,0.30383933,725.7072,11.187871,2.4109638,1.1737704,0,67,967.5305,21.122787,42.05032264,-78.87134857,
10/7/2025 15:16:27,13.4309025,73.75073,4.4317107,57.449898,0.07733513,0.7771277,6.866484,-22.755724,-121.595345,8.088913,0.0339224,17406.977,0.9993496,0.047937978,0.029774832,0.30842528,725.7069,11.2001505,2.4023218,1.1605023,0,67,967.5302,21.122221,42.05032264,-78.87134857,
10/7/2025 15:16:29,13.413042,73.80908,4.4425545,57.47102,0.076493636,0.768221,6.868276,-22.853474,-121.93684,8.097554,0.03395002,17400.48,0.99935204,0.047975905,0.030424533,0.31301123,725.70667,11.21243,2.3936799,1.1472342,0,67,967.52985,21.121655,42.05032264,-78.87134857,
10/7/2025 15:16:31,13.395183,73.86743,4.453398,57.492138,0.075652145,0.75931436,6.870068,-22.951223,-122.27833,8.106195,0.03397764,17393.982,0.9993545,0.048013832,0.031074235,0.31759718,725.7064,11.2247095,2.385038,1.1339661,0,67,967.5295,21.12109,42.05032264,-78.87134857,
10/7/2025 15:16:33,13.377322,73.92578,4.464242,57.513256,0.07481066,0.75040776,6.87186,-23.048973,-122.61982,8.114837,0.03400526,17387.486,0.9993569,0.048051756,0.03172394,0.3221831,725.7062,11.236989,2.376396,1.120698,0,67,967.5292,21.120523,42.05032264,-78.87134857,
10/7/2025 15:16:35,13.132583,74.678734,4.301863,57.748142,0.056769587,0.56687355,6.915725,-25.44682,-128.89732,8.059218,0.03435956,17316.934,0.9993889,0.048541177,0.022671469,0.3056032,725.6813,11.157993,2.4319906,0.84675014,0,67,967.4959,21.103897,42.05032264,-78.87134857,
10/7/2025 15:16:37,13.119565,74.72035,4.303104,57.762375,0.05612052,0.5601411,6.917395,-25.537945,-129.15283,8.058197,0.034379207,17312.598,0.99939066,0.04856823,0.022736983,0.30680415,725.68066,11.156543,2.4330118,0.8367109,0,67,967.4951,21.103327,42.05032264,-78.87134857,
10/7/2025 15:16:39,13.106547,74.76197,4.304344,57.776604,0.05547145,0.5534086,6.919065,-25.629068,-129.40836,8.057175,0.034398858,17308.264,0.9993924,0.04859528,0.022802496,0.3080051,725.68005,11.155091,2.434033,0.82667166,0,67,967.4943,21.102758,42.05032264,-78.87134857,
10/7/2025 15:16:41,13.09353,74.80359,4.305585,57.790833,0.054822385,0.54667616,6.920735,-25.720194,-129.66388,8.056153,0.03441851,17303.928,0.9993941,0.048622333,0.02286801,0.30920604,725.67944,11.153641,2.435054,0.81663245,0,67,967.4935,21.10219,42.05032264,-78.87134857,
10/7/2025 15:16:43,13.080513,74.84521,4.3068256,57.805065,0.054173317,0.5399437,6.922405,-25.81132,-129.91939,8.055131,0.034438156,17299.592,0.9993959,0.04864938,0.022933522,0.31040698,725.67883,11.152189,2.4360752,0.80659324,0,67,967.49274,21.10162,42.05032264,-78.87134857,
10/7/2025 15:16:45,13.067495,74.886826,4.308066,57.819294,0.05352425,0.5332113,6.9240746,-25.902443,-130.17491,8.05411,0.034457806,17295.258,0.99939764,0.048676435,0.022999037,0.31160793,725.6782,11.150739,2.4370966,0.79655397,0,67,967.49194,21.101051,42.05032264,-78.87134857,
10/7/2025 15:16:47,13.054478,74.928444,4.3093066,57.833527,0.05287518,0.5264788,6.9257445,-25.993568,-130.43042,8.053087,0.034477457,17290.922,0.99939936,0.048703484,0.02306455,0.31280887,725.6777,11.149287,2.4381177,0.78651476,0,67,967.49115,21.100481,42.05032264,-78.87134857,
10/7/2025 15:16:49,12.753659,75.30389,4.224549,57.68898,0.03284763,0.32533064,6.9543266,-27.539211,-135.41599,8.051211,0.034645885,17334.35,0.999437,0.048947528,0.016974032,0.35165927,725.70294,11.146559,2.440038,0.48614755,0,67,967.5249,21.092361,42.05032264,-78.87134857,
10/7/2025 15:16:51,12.743816,75.321266,4.221048,57.688282,0.032179296,0.31858766,6.955474,-27.601538,-135.60254,8.050728,0.034653872,17334.559,0.9994382,0.048958827,0.016747411,0.35247105,725.7033,11.145871,2.4405222,0.47608015,0,67,967.5253,21.091991,42.05032264,-78.87134857,
10/7/2025 15:16:53,12.7339735,75.338646,4.2175474,57.687584,0.03151096,0.31184468,6.9566216,-27.663864,-135.78908,8.050244,0.03466186,17334.766,0.9994395,0.048970122,0.016520793,0.35328284,725.7036,11.145183,2.4410062,0.46601278,0,67,967.52576,21.091621,42.05032264,-78.87134857,
10/7/2025 15:16:55,12.724131,75.356026,4.214047,57.68689,0.030842626,0.30510172,6.957769,-27.72619,-135.97562,8.049761,0.034669846,17334.973,0.9994407,0.04898142,0.016294172,0.3540946,725.704,11.144495,2.4414904,0.4559454,0,67,967.52625,21.091251,42.05032264,-78.87134857,
10/7/2025 15:16:57,12.714288,75.373405,4.210546,57.68619,0.03017429,0.29835874,6.958916,-27.788517,-136.16216,8.049278,0.03467783,17335.182,0.9994419,0.048992716,0.016067553,0.35490638,725.7043,11.143807,2.4419744,0.44587803,0,67,967.5267,21.090883,42.05032264,-78.87134857,
10/7/2025 15:16:59,12.704445,75.390785,4.2070456,57.685493,0.029505955,0.29161575,6.960064,-27.850843,-136.34871,8.048795,0.034685817,17335.389,0.9994432,0.049004015,0.015840933,0.35571817,725.70465,11.143119,2.4424586,0.43581066,0,67,967.52716,21.090513,42.05032264,-78.87134857,
10/7/2025 15:17:01,12.694602,75.408165,4.203545,57.684795,0.02883762,0.2848728,6.961211,-27.91317,-136.53525,8.048311,0.034693804,17335.596,0.9994444,0.04901531,0.015614313,0.35652992,725.70496,11.142431,2.4429426,0.42574325,0,67,967.5276,21.090143,42.05032264,-78.87134857,
10/7/2025 15:17:03,12.597205,76.00575,8.746971,57.99993,0.015513345,0.15310773,6.9737654,-28.594288,-145.91676,8.898415,0.034978144,17241.482,0.9994566,0.049403742,0.004410185,0.07133814,725.68646,12.350342,1.5928473,0.22882429,0,67,967.50287,21.08199,42.05032264,-78.87134857,
10/7/2025 15:17:05,12.59167,76.024284,8.8534155,58.006126,0.014986329,0.14786005,6.974376,-28.627394,-146.1926,8.918454,0.034986857,17239.633,0.9994573,0.049415786,0.004084607,0.06501216,725.6863,12.378815,1.5728087,0.22098458,0,67,967.5026,21.081705,42.05032264,-78.87134857,
10/7/2025 15:17:07,12.586135,76.042816,8.959861,58.012325,0.014459313,0.14261237,6.9749875,-28.660501,-146.46843,8.938493,0.03499557,17237.785,0.99945796,0.049427833,0.003759029,0.05868618,725.6861,12.407288,1.5527701,0.21314487,0,67,967.5024,21.08142,42.05032264,-78.87134857,
10/7/2025 15:17:09,12.580601,76.06135,9.066305,58.01852,0.013932297,0.13736469,6.9755983,-28.693607,-146.74426,8.958532,0.035004284,17235.936,0.9994587,0.049439877,0.003433451,0.0523602,725.6859,12.4357605,1.5327315,0.20530514,0,67,967.50214,21.081139,42.05030937,-78.87136013,
