Location Properties,,,,,,,,,,,,,,,,,,
5/13/2025 15:49,67.45922,16.488386,7.1863093,9.242727,97.026245,2.0427268,1.1737959,0.04658891,3.8280814,-22.321259,6.662865,0,83,987.26227,20.549591,41.23137442,-74.07650624,
5/13/2025 15:49,67.41102,16.488173,7.1864,9.239244,96.98444,2.0467823,1.1351608,0.04681158,3.866088,-22.326168,6.624862,0,83,987.2594,20.549751,41.23137442,-74.07650624,
5/13/2025 15:49,67.362816,16.487959,7.18649,9.235762,96.94264,2.0508375,1.0965257,0.04703425,3.9040945,-22.331078,6.586859,0,83,987.2566,20.549911,41.23137442,-74.07650624,
5/13/2025 15:49,67.23009,16.126633,7.1495667,9.053302,94.41689,2.142486,1.1149807,0.039320733,3.9403281,-20.22029,6.5507407,0,83,987.2782,20.5581,41.23137442,-74.07650624,
5/13/2025 15:49,67.20578,16.110012,7.1479273,9.0436,94.28488,2.1526563,1.0888667,0.03907427,3.9567223,-20.126474,6.5343537,0,83,987.278,20.558474,41.23137442,-74.07650624,
5/13/2025 15:49,67.18148,16.09339,7.1462884,9.033897,94.15288,2.1628263,1.0627527,0.038827803,3.9731166,-20.03266,6.5179667,0,83,987.2779,20.558847,41.23137442,-74.07650624,
5/13/2025 15:49,67.15717,16.076769,7.144649,9.024195,94.02087,2.1729963,1.0366387,0.038581338,3.989511,-19.938843,6.5015798,0,83,987.2777,20.55922,41.23137442,-74.07650624,
5/13/2025 15:49,67.157906,15.994281,7.1022167,8.8576565,92.127556,2.0723915,0.9472667,0.03826969,3.996326,-17.535294,6.4947653,0,83,987.2864,20.559511,41.23137442,-74.07650624,
5/13/2025 15:49,67.15661,15.983979,7.0996118,8.846841,91.996475,2.0692425,0.9447707,0.03811003,3.9964323,-17.387392,6.4946613,0,83,987.28723,20.559671,41.23137442,-74.07650624,
5/13/2025 15:49,67.15532,15.973677,7.097007,8.836025,91.86539,2.0660934,0.94227463,0.037950363,3.9965384,-17.23949,6.494557,0,83,987.2881,20.559832,41.23137442,-74.07650624,
5/13/2025 15:49,67.15402,15.963375,7.094402,8.82521,91.73431,2.0629444,0.93977857,0.0377907,3.9966447,-17.091587,6.4944525,0,83,987.28894,20.559992,41.23137442,-74.07650624,
5/13/2025 15:49,67.335106,15.878143,7.0615,8.692074,90.183624,1.7217499,0.93438256,0.036917847,4.0207453,-15.227846,6.4703507,0,83,987.3307,20.576574,41.23137442,-74.07650624,
5/13/2025 15:49,67.34345,15.8730545,7.0592704,8.683176,90.08112,1.7044542,0.93262583,0.036877763,4.0218644,-15.101567,6.4692316,0,83,987.3327,20.57732,41.23137442,-74.07650624,
5/13/2025 15:49,67.3518,15.867966,7.0570407,8.674278,89.978615,1.6871583,0.93086904,0.03683768,4.0229836,-14.975289,6.4681125,0,83,987.3348,20.578066,41.23137442,-74.07650624,
5/13/2025 15:49,67.36014,15.862877,7.054811,8.6653805,89.876114,1.6698626,0.9291123,0.036797594,4.0241027,-14.84901,6.466993,0,83,987.3368,20.578814,41.23137442,-74.07650624,
5/13/2025 15:50,67.368484,15.857788,7.052582,8.656483,89.773605,1.6525668,0.9273556,0.036757506,4.025222,-14.722732,6.4658737,0,83,987.3388,20.57956,41.23137442,-74.07650624,
5/13/2025 15:50,67.43969,15.748903,7.0111747,8.518544,88.13912,1.3747796,0.89691937,0.02706304,4.0186157,-12.379143,6.4724717,0,83,987.3385,20.579502,41.23137442,-74.07650624,
5/13/2025 15:50,67.44625,15.7425785,7.008752,8.510007,88.03852,1.3562486,0.89547926,0.026632756,4.0188036,-12.24198,6.4722834,0,83,987.3393,20.579823,41.23137442,-74.07650624,
5/13/2025 15:50,67.45282,15.736255,7.006329,8.501469,87.93793,1.3377177,0.89403915,0.026202472,4.0189915,-12.1048155,6.472095,0,83,987.3401,20.580143,41.23137442,-74.07650624,
5/13/2025 15:50,67.45938,15.72993,7.0039062,8.492931,87.837326,1.3191868,0.89259905,0.025772186,4.0191793,-11.967652,6.471907,0,83,987.3409,20.580463,41.23137442,-74.07650624,
5/13/2025 15:50,67.45044,15.726865,6.976061,8.378119,86.64403,1.4096556,0.8300832,0.03600076,4.006987,-10.3953,6.484009,0,83,987.3484,20.588724,41.23137442,-74.07650624,
5/13/2025 15:50,67.45164,15.724564,6.974081,8.370577,86.56161,1.4077084,0.8268978,0.03623881,4.006391,-10.283367,6.484601,0,83,987.34875,20.589083,41.23137442,-74.07650624,
5/13/2025 15:50,67.45283,15.722262,6.9721007,8.363034,86.47919,1.4057614,0.82371247,0.03647686,4.005795,-10.171435,6.4851933,0,83,987.3491,20.589441,41.23137442,-74.07650624,
5/13/2025 15:50,67.45402,15.719961,6.9701204,8.355492,86.39677,1.4038142,0.82052714,0.03671491,4.005199,-10.059503,6.4857855,0,83,987.3495,20.589802,41.23137442,-74.07650624,
5/13/2025 15:50,67.505875,15.709437,6.952849,8.290373,85.702,1.9284331,1.0943222,0.043345366,4.0181823,-9.084012,6.4729304,0,83,987.3757,20.59848,41.23137442,-74.07650624,
5/13/2025 15:50,67.50802,15.70876,6.951573,8.285406,85.649284,1.9508818,1.1043185,0.0437849,4.0184965,-9.011934,6.47262,0,83,987.3769,20.598991,41.23137442,-74.07650624,
5/13/2025 15:50,67.510155,15.708084,6.950297,8.280438,85.596565,1.9733306,1.1143149,0.044224437,4.0188107,-8.9398575,6.472309,0,83,987.3781,20.5995,41.23137442,-74.07650624,
5/13/2025 15:50,67.5123,15.707407,6.949021,8.275472,85.54385,1.9957794,1.1243112,0.044663973,4.019125,-8.86778,6.4719987,0,83,987.37933,20.60001,41.23137442,-74.07650624,
5/13/2025 15:50,67.45709,15.700818,6.937184,8.251875,85.291214,1.7046936,1.1686084,0.039229307,4.0262227,-8.1992445,6.4648075,0,83,987.3438,20.617355,41.23137442,-74.07650624,
5/13/2025 15:50,67.45578,15.700299,6.9363403,8.249555,85.26637,1.7019657,1.1751728,0.039129756,4.026727,-8.151604,6.4643016,0,83,987.34283,20.61823,41.23137442,-74.07650624,
5/13/2025 15:50,67.45446,15.69978,6.935497,8.247235,85.24154,1.6992377,1.1817372,0.039030205,4.027231,-8.103964,6.4637957,0,83,987.34186,20.619104,41.23137442,-74.07650624,
5/13/2025 15:50,67.45315,15.699262,6.9346533,8.244916,85.2167,1.6965098,1.1883017,0.038930655,4.0277357,-8.056323,6.4632897,0,83,987.3409,20.619978,41.23137442,-74.07650624,
5/13/2025 15:50,67.49947,15.646736,6.920476,8.229481,84.960266,1.5009027,0.9935678,0.036310684,4.041112,-7.2545657,6.4498873,0,83,987.3579,20.628166,41.23137442,-74.07650624,
5/13/2025 15:50,67.50035,15.644533,6.919671,8.228318,84.94425,1.4885137,0.986974,0.036120314,4.041775,-7.209064,6.4492216,0,83,987.358,20.628817,41.23137442,-74.07650624,
5/13/2025 15:50,67.50123,15.64233,6.918866,8.227157,84.92824,1.4761249,0.9803801,0.035929948,4.0424385,-7.1635623,6.4485555,0,83,987.35803,20.629465,41.23137442,-74.07650624,
