Location Properties,,,,,,,,,,,,,,,,,,,,,
5/27/2025 17:48:34,,82.14016,7.729004,79.047295,0.006254896,0.022434158,7.1342697,-19.305399,246.95229,0.5732204,15.377373,743.22046,11.482382,8.287367,0,77,990.8797,22.31,41.26861191,-74.0875279,
5/27/2025 17:48:36,,82.144295,7.715481,78.90497,0.006263635,0.022384776,7.131096,-19.126192,247.06001,0.5738911,15.375147,743.2206,11.481443,8.286709,0,77,990.8799,22.31,41.26860991,-74.08752466,
5/27/2025 17:48:38,,82.20359,7.5372734,77.04284,0.004594228,0.022542473,7.0835624,-16.444078,248.61012,0.58093554,15.34969,743.20135,11.480954,8.286299,0,77,990.8541,22.31,41.26860675,-74.08752323,
5/27/2025 17:48:40,,82.20676,7.5266976,76.93226,0.004478824,0.02251548,7.08086,-16.291584,248.69849,0.5814192,15.348203,743.2006,11.480605,8.286052,0,77,990.85315,22.31,41.26861055,-74.08752247,
5/27/2025 17:48:42,,82.209915,7.516122,76.82168,0.00436342,0.022488488,7.078158,-16.13909,248.78685,0.58190286,15.346714,743.1999,11.480257,8.285805,0,77,990.85223,22.31,41.26861037,-74.08752306,
5/27/2025 17:48:44,,82.21307,7.505546,76.71109,0.004248015,0.022461494,7.0754557,-15.986595,248.87521,0.5823865,15.345225,743.19916,11.479908,8.285558,0,77,990.85126,22.31,41.26860503,-74.0875279,
5/27/2025 17:48:46,,82.15979,7.390168,75.461914,0.00074093,0.025714684,7.0408964,-14.035722,249.68654,0.6098868,15.302735,743.2115,11.513704,8.309378,0,77,990.8677,22.31,41.26860276,-74.08752966,
5/27/2025 17:48:48,,82.15871,7.38285,75.38376,0.000582098,0.025842551,7.038802,-13.9175415,249.74274,0.61105853,15.300684,743.2117,11.514991,8.310285,0,77,990.8679,22.31,41.26860581,-74.08752624,
5/27/2025 17:48:50,,82.15762,7.3755326,75.3056,0.000423266,0.02597042,7.0367084,-13.799361,249.79895,0.6122302,15.298632,743.21185,11.516278,8.311191,0,77,990.86816,22.31,41.26860733,-74.08752667,
5/27/2025 17:48:52,,82.15654,7.368215,75.22745,0.000264435,0.026098289,7.0346146,-13.681181,249.85516,0.6134019,15.29658,743.21204,11.517565,8.312097,0,77,990.8684,22.31,41.26860573,-74.08752615,
5/27/2025 17:48:54,,82.15546,7.360897,75.14929,0.000105603,0.026226155,7.032521,-13.563001,249.91136,0.61457354,15.294528,743.2122,11.518852,8.313003,0,77,990.86865,22.31,41.26860368,-74.08752857,
5/27/2025 17:48:56,,82.24502,7.263887,74.080505,0.011899541,0.023768296,6.998789,-11.6592,250.55817,0.58755136,15.244773,743.20605,11.500587,8.300141,0,77,990.8604,22.301346,41.26860333,-74.08752856,
5/27/2025 17:48:58,,82.24756,7.258228,74.01857,0.012287365,0.023728589,6.9969206,-11.553754,250.59676,0.5869845,15.242179,743.20605,11.500449,8.300044,0,77,990.86035,22.30102,41.26860568,-74.0875281,
5/27/2025 17:49:0,,82.25011,7.252569,73.956635,0.012675189,0.023688879,6.9950523,-11.448307,250.63535,0.5864177,15.239585,743.206,11.500312,8.299948,0,77,990.86035,22.300692,41.26861037,-74.08752755,
