"Location Properties"
"Location Name = LW1"
"Location ID = b32bd0a6-23d2-4098-afa9-1e6c55328813"
"Latitude = 41.231365090412744 °"
"Longitude = -74.07638617052947 °"
""
"Report Properties"
"Start Time = 2025-10-01 09:22:58"
"Time Offset = -04:00:00"
"Duration = 00:06:56"
"Readings = 209"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
""
"Date Time","Specific Conductivity (µS/cm) (1154450)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","Oxygen Partial Pressure (Torr) (1147006)","BGA-PC Fluorescence (RFU) (1142613)","Chlorophyll-a Fluorescence (RFU) (1151543)","pH (pH) (1112266)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Turbidity (NTU) (1154355)","Temperature (°C) (1155867)","Depth (m) (1147922)","Latitude (°)","Longitude (°)","Marked"
"2025-10-01 09:24:08","150.7936","0","0","-0.6753576","0.046686754","0.56345737","7.0209317","-30.956402","-153.095","4.5672297","10.455899","7.9653754","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:10","150.13512","0","0","-0.6947349","0.08782288","0.46177492","7.011586","-30.449831","-153.73853","4.68331","10.492189","7.9613104","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:12","150.04565","0","0","-0.69542146","0.0893606","0.4572837","7.011085","-30.42255","-153.77786","4.692154","10.493131","7.9611306","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:14","149.95618","0","0","-0.69610804","0.090898335","0.4527925","7.0105834","-30.39527","-153.8172","4.700998","10.494072","7.960951","41.23130714970032","-74.07650938178047",""
"2025-10-01 09:24:16","149.8667","0","0","-0.6967946","0.09243606","0.4483013","7.0100822","-30.367989","-153.85654","4.7098417","10.495014","7.9607706","41.23130714970031","-74.07650938178047",""
"2025-10-01 09:24:18","149.01233","0","0","-0.6909792","0.07190165","0.49169695","6.989091","-29.222063","-152.24199","4.572933","10.50236","7.963183","41.23130714970032","-74.07650938178047",""
"2025-10-01 09:24:20","148.96399","0","0","-0.6910607","0.071775265","0.49169222","6.988094","-29.167702","-152.1897","4.5695496","10.503228","7.9632077","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:22","148.91563","0","0","-0.69114226","0.07164889","0.49168748","6.9870973","-29.113338","-152.13742","4.566166","10.504096","7.963233","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:24","148.8673","0","0","-0.69122386","0.071522504","0.49168274","6.9861","-29.058977","-152.08513","4.562782","10.504964","7.963258","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:26","149.04863","0","0","-0.7112167","0.051501203","0.6191919","6.973488","-28.369864","-152.22234","4.2468343","10.504006","7.9657702","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:28","149.0394","0","0","-0.7119174","0.05039488","0.6248548","6.9726253","-28.322758","-152.20108","4.2322645","10.504111","7.9659066","41.231307149700314","-74.07650938178047",""
"2025-10-01 09:24:30","149.03017","0","0","-0.71261805","0.049288563","0.6305177","6.9717627","-28.275652","-152.17984","4.2176948","10.504215","7.966043","41.2313071497003","-74.07650938178047",""
"2025-10-01 09:24:32","149.02094","0","0","-0.7133187","0.04818224","0.6361807","6.9709","-28.228548","-152.1586","4.203125","10.50432","7.966179","41.23130714970029","-74.07650938178047",""
"2025-10-01 09:24:34","149.0763","0","0","-0.69788104","0.07667534","0.5632845","6.9537807","-27.293133","-151.88321","4.4286504","10.502072","7.966834","41.23130714970031","-74.07650938178047",""
"2025-10-01 09:24:36","149.0806","0","0","-0.6976069","0.07746411","0.5625407","6.9528723","-27.243484","-151.87358","4.432206","10.501984","7.9669027","41.2313071497003","-74.07650938178047",""
"2025-10-01 09:24:38","149.0849","0","0","-0.6973328","0.07825289","0.56179696","6.9519634","-27.193834","-151.86395","4.4357624","10.501895","7.9669714","41.23130714970031","-74.07650938178047",""
"2025-10-01 09:24:40","149.0892","0","0","-0.69705874","0.07904166","0.5610532","6.9510546","-27.144186","-151.85432","4.439318","10.501806","7.96704","41.23130714970029","-74.07650938178047",""
"2025-10-01 09:24:42","149.39114","0","0","-0.70366055","0.068499856","0.61213416","6.935176","-26.277245","-150.83243","4.3302035","10.506957","7.961005","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:44","149.40392","0","0","-0.70367396","0.068541765","0.61302996","6.934241","-26.226192","-150.78668","4.3294253","10.507126","7.960778","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:46","149.41669","0","0","-0.7036874","0.06858367","0.61392576","6.933306","-26.175138","-150.74094","4.3286476","10.507296","7.960551","41.23130714970029","-74.07650938178047",""
"2025-10-01 09:24:48","149.42946","0","0","-0.7037009","0.06862557","0.6148216","6.932371","-26.124086","-150.69519","4.3278694","10.507464","7.960324","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:50","149.43654","0","0","-0.6662072","0.050133515","0.5621999","6.9206657","-25.483559","-150.74861","4.3344827","10.49555","7.9620175","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:52","149.44199","0","0","-0.66481745","0.049226433","0.56095463","6.919917","-25.442608","-150.73334","4.33294","10.495159","7.961984","41.231307149700285","-74.07650938178045",""
"2025-10-01 09:24:54","149.44743","0","0","-0.66342765","0.048319347","0.55970937","6.919168","-25.401657","-150.71808","4.3313975","10.494769","7.961951","41.23130714970029","-74.07650938178047",""
"2025-10-01 09:24:56","149.4529","0","0","-0.66203785","0.04741226","0.5584641","6.918419","-25.360706","-150.70282","4.329855","10.494379","7.9619174","41.23130714970029","-74.07650938178047",""
"2025-10-01 09:24:58","147.28137","0","0","-0.6828193","0.06344202","0.52574784","6.9073105","-24.754885","-149.68219","4.8839164","10.505851","7.9693546","41.2313071497003","-74.07650938178047",""
"2025-10-01 09:25:00","147.19417","0","0","-0.683024","0.06377772","0.5235506","6.906653","-24.719004","-149.64139","4.90635","10.506114","7.96968","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:02","147.10696","0","0","-0.6832286","0.06411342","0.5213534","6.905996","-24.683125","-149.60059","4.9287844","10.506377","7.970005","41.231300300896166","-74.0764896985235",""
"2025-10-01 09:25:04","147.01974","0","0","-0.68343323","0.064449124","0.5191562","6.905339","-24.647243","-149.55978","4.951218","10.50664","7.9703307","41.231300300896166","-74.0764896985235",""
"2025-10-01 09:25:06","146.17671","0","0","-0.7089348","0.069279015","0.56826365","6.895718","-24.123789","-147.67816","5.4954276","10.531284","7.962184","41.231300300896166","-74.0764896985235",""
"2025-10-01 09:25:08","146.10596","0","0","-0.7102971","0.06973582","0.56966376","6.8951344","-24.091995","-147.58511","5.526665","10.532464","7.9619837","41.231300300896166","-74.0764896985235",""
"2025-10-01 09:25:10","146.0352","0","0","-0.7116594","0.07019263","0.5710639","6.894551","-24.0602","-147.49208","5.557903","10.533644","7.9617834","41.23130030089617","-74.0764896985235",""
"2025-10-01 09:25:12","145.96446","0","0","-0.7130217","0.07064944","0.57246405","6.8939667","-24.028406","-147.39903","5.58914","10.534823","7.961583","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:14","145.67918","0","0","-0.70440644","0.06228257","0.6614632","6.8825827","-23.40811","-147.15202","4.572651","10.555169","7.967665","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:16","145.6526","0","0","-0.70448494","0.062027246","0.6658656","6.881953","-23.373812","-147.11009","4.5408173","10.556408","7.9677787","41.23130030089618","-74.0764896985235",""
"2025-10-01 09:25:18","145.626","0","0","-0.7045634","0.061771918","0.670268","6.8813233","-23.339512","-147.06815","4.5089836","10.557648","7.967892","41.23130030089617","-74.07648969852352",""
"2025-10-01 09:25:20","145.59941","0","0","-0.7046419","0.06151659","0.67467034","6.8806934","-23.305212","-147.02621","4.47715","10.558887","7.9680057","41.231300300896166","-74.0764896985235",""
"2025-10-01 09:25:22","145.02177","0","0","-0.7056159","0.040535007","0.7313842","6.868118","-22.619766","-147.07603","5.05502","10.580085","7.9781723","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:24","144.99309","0","0","-0.70551854","0.039555367","0.7351798","6.8674145","-22.581448","-147.07317","5.0611296","10.581289","7.9786835","41.23130030089616","-74.07648969852352",""
"2025-10-01 09:25:26","144.9644","0","0","-0.70542127","0.038575727","0.7389754","6.8667116","-22.543129","-147.0703","5.0672393","10.582495","7.979194","41.23130030089617","-74.07648969852353",""
"2025-10-01 09:25:28","144.9357","0","0","-0.705324","0.037596088","0.742771","6.8660088","-22.504812","-147.06743","5.073349","10.5837","7.9797053","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:30","143.73358","0","0","-0.71494246","0.1252197","0.6554727","6.8533607","-21.813906","-146.29173","4.5320063","10.5866785","7.979947","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:32","143.67488","0","0","-0.7153521","0.12843807","0.65288776","6.8526335","-21.774204","-146.2606","4.519357","10.587159","7.9801254","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:34","143.6162","0","0","-0.71576184","0.13165645","0.6503029","6.8519063","-21.7345","-146.22948","4.506708","10.58764","7.9803033","41.23130030089617","-74.07648969852352",""
"2025-10-01 09:25:36","143.5575","0","0","-0.7161715","0.13487482","0.64771795","6.851179","-21.6948","-146.19833","4.494059","10.588121","7.9804816","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:38","144.17876","0","0","-0.73575926","0.079483904","0.678647","6.838165","-20.98413","-146.49203","4.3897862","10.594673","7.978331","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:40","144.1836","0","0","-0.7367139","0.078718044","0.6784394","6.837422","-20.943583","-146.4908","4.376243","10.594992","7.978249","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:42","144.18843","0","0","-0.7376686","0.077952184","0.6782317","6.8366795","-20.903034","-146.48956","4.3627005","10.59531","7.9781666","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:44","144.19327","0","0","-0.73862326","0.07718633","0.67802405","6.835937","-20.862484","-146.48833","4.349158","10.595629","7.9780846","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:46","144.1981","0","0","-0.73957795","0.07642047","0.67781645","6.8351946","-20.821936","-146.48709","4.335615","10.595947","7.978002","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:25:48","144.98364","0","0","-0.7682496","0.082290925","0.6221228","6.822508","-20.128683","-146.14616","4.51832","10.596443","7.986034","41.23130030089617","-74.07648969852352",""
"2025-10-01 09:25:50","145.0245","0","0","-0.7697261","0.08160945","0.62042207","6.821771","-20.088446","-146.13737","4.523355","10.596581","7.986313","41.23130030089617","-74.07648969852352",""
"2025-10-01 09:25:52","145.06537","0","0","-0.7712026","0.080927975","0.6187213","6.821035","-20.04821","-146.12859","4.5283895","10.59672","7.9865923","41.23130030089618","-74.07648969852353",""
"2025-10-01 09:25:54","145.10625","0","0","-0.77267915","0.0802465","0.61702055","6.820298","-20.007973","-146.11981","4.5334244","10.596858","7.9868712","41.231300300896166","-74.07648969852352",""
"2025-10-01 09:25:56","144.93904","0","0","-0.76280063","0.10792145","0.6235503","6.8115296","-19.527115","-146.82047","4.611502","10.572203","7.972993","41.23130030089617","-74.07648969852352",""
"2025-10-01 09:25:58","144.94588","0","0","-0.7629193","0.1090971","0.6228554","6.8109517","-19.495485","-146.84225","4.617377","10.571246","7.9725804","41.23130030089617","-74.0764896985235",""
"2025-10-01 09:26:00","144.95271","0","0","-0.7630379","0.11027275","0.6221606","6.8103743","-19.463856","-146.86404","4.623251","10.57029","7.972168","41.23130030089618","-74.07648969852349",""
"2025-10-01 09:26:02","144.95955","0","0","-0.7631566","0.1114484","0.62146574","6.809797","-19.432226","-146.88582","4.6291256","10.569334","7.9717555","41.23130030089619","-74.0764896985235",""
"2025-10-01 09:26:04","143.37292","0","0","-0.76946074","0.20109035","0.76605344","6.8030834","-19.06776","-146.4125","5.004619","10.604509","7.9542637","41.23130030089618","-74.0764896985235",""
"2025-10-01 09:26:06","143.30852","0","0","-0.76957214","0.20507425","0.7718171","6.8026547","-19.044405","-146.4056","5.02083","10.605477","7.953346","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:26:08","143.2441","0","0","-0.7696836","0.20905817","0.77758074","6.8022265","-19.021048","-146.39868","5.0370407","10.606445","7.9524274","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:26:10","143.17969","0","0","-0.769795","0.21304208","0.7833444","6.801798","-18.997692","-146.39175","5.0532517","10.607413","7.9515095","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:26:12","142.48186","0","0","-0.7742631","0.06706058","0.63117176","6.7940598","-18.575922","-146.51814","4.345034","10.624105","7.980591","41.23130030089616","-74.0764896985235",""
"2025-10-01 09:26:14","142.42757","0","0","-0.7745495","0.062758945","0.627507","6.7936273","-18.552376","-146.51569","4.3231745","10.625342","7.9814506","41.23130030089616","-74.0764896985235",""
