"Location Properties"
"Location Name = QL-2"
"Location ID = 3f2f9a37-1390-4de3-b6b2-c01a3c6fd9e4"
"Latitude = 42.044536625074265 °"
"Longitude = -78.86912880472734 °"
""
"Report Properties"
"Start Time = 2025-05-07 09:59:11"
"Time Offset = -04:00:00"
"Duration = 00:11:06"
"Readings = 334"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
""
"Date Time","Depth (m) (1147922)","Temperature (°C) (1155867)","Specific Conductivity (µS/cm) (1154450)","pH (pH) (1112266)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","Chlorophyll-a Fluorescence (RFU) (1151543)","Turbidity (NTU) (1154355)","BGA-PC Fluorescence (RFU) (1142613)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Latitude (°)","Longitude (°)","Marked"
"2025-05-07 10:01:21","2.1581585","13.748156","39.537106","7.337962","10.526761","106.2325","0.038904615","2.3959172","0","-30.619455","275.34998","42.04461568333772","-78.86906674965356",""
"2025-05-07 10:01:23","2.188035","13.74157","39.495106","7.3376417","10.522856","106.17764","0.038984716","2.4125214","0","-30.600777","275.3818","42.04461568333773","-78.86906674965356",""
"2025-05-07 10:01:25","2.2179115","13.734986","39.45311","7.3373213","10.5189495","106.12279","0.039064817","2.4291253","0","-30.582098","275.41364","42.04461568333775","-78.86906674965354",""
"2025-05-07 10:01:27","2.247788","13.728402","39.411114","7.337001","10.515044","106.06793","0.039144915","2.4457295","0","-30.563421","275.44547","42.04461569268399","-78.86906674050915",""
"2025-05-07 10:01:29","2.2776644","13.721818","39.369118","7.336681","10.511139","106.01308","0.039225016","2.4623337","0","-30.544743","275.4773","42.04461569231951","-78.86906674086576",""
"2025-05-07 10:01:31","2.4081109","13.318825","39.485935","7.2875915","10.484613","104.79707","0.036818575","2.839124","0","-27.753666","278.82758","42.04461569231945","-78.86906674086583",""
"2025-05-07 10:01:33","2.4260633","13.300538","39.47215","7.2855153","10.481958","104.72726","0.036760572","2.861392","0","-27.635452","278.96988","42.04461569231937","-78.86906674086592",""
"2025-05-07 10:01:35","2.4440155","13.282252","39.45836","7.283439","10.479303","104.65745","0.03670257","2.8836598","0","-27.517237","279.11218","42.0446156923193","-78.86906674086602",""
"2025-05-07 10:01:37","2.461968","13.263967","39.444572","7.2813625","10.476648","104.58763","0.036644567","2.905928","0","-27.399023","279.25452","42.044618174693696","-78.86906179835059",""
"2025-05-07 10:01:39","2.4450448","13.157557","39.51841","7.2756295","10.427213","103.84614","0.040335264","3.0996895","0","-27.068155","279.26706","42.0446180676673","-78.86906288696255",""
"2025-05-07 10:01:41","2.4471948","13.146702","39.52225","7.274595","10.424801","103.79655","0.040438466","3.1136656","0","-27.00911","279.32343","42.04462156369268","-78.86906280837013",""
"2025-05-07 10:01:43","2.4493446","13.135847","39.52609","7.2735596","10.422388","103.746956","0.040541664","3.1276417","0","-26.950064","279.37982","42.044621618457626","-78.86906280848747",""
"2025-05-07 10:01:45","2.4514947","13.124992","39.52993","7.2725244","10.419975","103.697365","0.040644865","3.1416178","0","-26.891018","279.43622","42.04462170848355","-78.86906280868035",""
"2025-05-07 10:01:47","2.443272","13.080544","39.554905","7.2626615","10.385955","103.25832","0.03549576","2.746747","0","-26.335157","279.595","42.04462170848704","-78.86906280868034",""
"2025-05-07 10:01:49","2.4430163","13.076752","39.55681","7.2621465","10.383779","103.22791","0.035354186","2.734934","0","-26.305988","279.604","42.04462170848705","-78.86906280868035",""
"2025-05-07 10:01:51","2.4427605","13.07296","39.558712","7.2616315","10.381603","103.1975","0.035212606","2.723121","0","-26.276817","279.613","42.04462170848704","-78.86906280868035",""
"2025-05-07 10:01:53","2.4425046","13.069168","39.56061","7.2611165","10.379427","103.16709","0.035071027","2.711308","0","-26.247648","279.62198","42.04462170848705","-78.86906280868035",""
"2025-05-07 10:01:55","2.4435587","13.030657","39.53308","7.2383075","10.36854","102.969376","0.03812436","2.9419513","0.009358902","-24.968222","279.89404","42.04462170848705","-78.86906280868034",""
"2025-05-07 10:01:57","2.4434996","13.028275","39.53248","7.2372456","10.367527","102.953804","0.038158335","2.9445388","0.009721195","-24.908598","279.9081","42.04462113488784","-78.86906183185533",""
"2025-05-07 10:01:59","2.4434404","13.025892","39.53188","7.2361836","10.366514","102.93823","0.038192306","2.9471264","0.010083488","-24.848974","279.9222","42.04462061250373","-78.86906094224835",""
"2025-05-07 10:02:01","2.4433813","13.02351","39.531277","7.2351217","10.3655","102.92266","0.038226277","2.9497137","0.010445781","-24.78935","279.93628","42.0446201586047","-78.86905741532958",""
"2025-05-07 10:02:03","2.444433","12.989006","39.510483","7.209086","10.355091","102.73622","0.03538963","3.1582391","0.0012804705","-23.330208","280.29672","42.04461768232091","-78.86905915568789",""
"2025-05-07 10:02:05","2.4444888","12.986991","39.509243","7.2076907","10.354485","102.725395","0.035325866","3.1700501","0.0010696864","-23.251993","280.31534","42.044622653089775","-78.86906034717173",""
"2025-05-07 10:02:07","2.4445448","12.984976","39.508003","7.206296","10.353878","102.71458","0.0352621","3.181861","0.00085890235","-23.173779","280.33395","42.04462080293426","-78.86906549294548",""
"2025-05-07 10:02:09","2.4446008","12.982961","39.506763","7.2049007","10.3532715","102.70375","0.03519834","3.1936717","0.00064811826","-23.095566","280.3526","42.04462084339902","-78.86906548453882",""
"2025-05-07 10:02:11","2.4446566","12.980946","39.505524","7.2035055","10.352665","102.69293","0.035134573","3.2054825","0.00043733418","-23.017351","280.37122","42.04461580077632","-78.86906198056502",""
"2025-05-07 10:02:13","2.6071036","12.936771","39.332413","7.199095","10.331506","102.38367","0.03460845","3.173507","0.00029519605","-22.767166","279.8739","42.04461544835189","-78.86906022288309",""
"2025-05-07 10:02:15","2.6132982","12.93447","39.325466","7.198467","10.330511","102.36852","0.034540772","3.1759198","0.0001383164","-22.731878","279.86136","42.04461504703109","-78.86906273259",""
"2025-05-07 10:02:17","2.619493","12.932169","39.318516","7.1978393","10.329516","102.35338","0.03447309","3.1783328","0","-22.696589","279.8488","42.04461505119554","-78.86906272448273",""
"2025-05-07 10:02:19","2.6256876","12.929868","39.31157","7.1972117","10.328521","102.338234","0.034405414","3.1807456","0","-22.6613","279.83624","42.044615047015604","-78.86906273268752",""
"2025-05-07 10:02:21","2.614909","12.868935","39.20305","7.1710744","10.3151655","102.066444","0.026277583","2.9968448","0","-21.19524","280.28665","42.04461504701545","-78.86906273268784",""
"2025-05-07 10:02:23","2.6171336","12.865823","39.196022","7.1699643","10.314293","102.0507","0.025953896","2.9894726","0","-21.132938","280.29636","42.04461504701544","-78.86906273268784",""
"2025-05-07 10:02:25","2.6193583","12.86271","39.188995","7.168854","10.313421","102.03495","0.02563021","2.9821005","0","-21.070635","280.30606","42.04461504701545","-78.86906273268784",""
"2025-05-07 10:02:27","2.6215827","12.859598","39.181965","7.167744","10.312549","102.01921","0.025306523","2.9747286","0","-21.008331","280.31577","42.04460648601359","-78.86905633898154",""
"2025-05-07 10:02:29","2.7060912","12.803533","39.187923","7.1647696","10.306882","101.838486","0.02901241","3.461148","0","-20.837988","279.6558","42.04460549972321","-78.86905605577853",""
"2025-05-07 10:02:31","2.7092574","12.800334","39.186268","7.164214","10.306429","101.82682","0.029020278","3.476914","0","-20.806692","279.63763","42.04460647069496","-78.86905413095242",""
"2025-05-07 10:02:33","2.7124236","12.797136","39.184612","7.1636586","10.305976","101.815155","0.029028144","3.4926798","0","-20.775396","279.61945","42.04460618945854","-78.8690539363534",""
"2025-05-07 10:02:35","2.7155898","12.793938","39.182957","7.163103","10.305523","101.80349","0.029036012","3.5084457","0","-20.7441","279.6013","42.04460618945854","-78.8690539363534",""
"2025-05-07 10:02:37","2.4891105","12.782747","39.408688","7.114067","10.329245","102.01218","0.018843299","3.85995","0","-18.002672","281.55133","42.04460618945854","-78.8690539363534",""
"2025-05-07 10:02:39","2.4816263","12.781373","39.41754","7.112086","10.330072","102.017265","0.018499905","3.881448","0","-17.89184","281.61722","42.04460618945916","-78.86905393634865",""
"2025-05-07 10:02:41","2.474142","12.779999","39.426395","7.1101046","10.3309","102.02235","0.01815651","3.9029462","0","-17.781008","281.6831","42.04459822134743","-78.8690611444176",""
"2025-05-07 10:02:43","2.4666579","12.778624","39.43525","7.108124","10.331728","102.027435","0.017813114","3.9244442","0","-17.670176","281.749","42.04459951189847","-78.86906369366875",""
"2025-05-07 10:02:45","2.3406324","12.869198","39.656822","7.1181803","10.335204","102.26952","0.032598153","3.0863554","0","-18.238024","280.5315","42.04459951189847","-78.86906369366875",""
"2025-05-07 10:02:47","2.3320076","12.872556","39.669167","7.1177726","10.335723","102.28236","0.03301135","3.059175","0","-18.215448","280.51547","42.04459951189847","-78.86906369366875",""
"2025-05-07 10:02:49","2.3233829","12.875914","39.68151","7.117365","10.336243","102.29519","0.03342455","3.0319946","0","-18.192871","280.49945","42.04459951189847","-78.86906369366875",""
"2025-05-07 10:02:51","2.314758","12.8792715","39.69386","7.116957","10.336761","102.308014","0.033837747","3.0048141","0","-18.170296","280.4834","42.04459951190104","-78.86906369366889",""
"2025-05-07 10:02:53","2.3061333","12.882629","39.706203","7.1165495","10.337281","102.32085","0.034250945","2.9776337","0","-18.14772","280.46738","42.04459951190005","-78.8690636936688",""
"2025-05-07 10:02:55","2.3184206","12.908248","39.568325","7.1022916","10.327375","102.27892","0.034094684","2.9136963","0","-17.35205","281.84564","42.044599511899385","-78.8690636936688",""
"2025-05-07 10:02:57","2.3166559","12.910743","39.566887","7.101886","10.327066","102.28148","0.034332104","2.8973858","0","-17.329525","281.8791","42.04459951189898","-78.8690636936688",""
"2025-05-07 10:02:59","2.3148913","12.913238","39.565445","7.10148","10.3267565","102.28404","0.034569528","2.8810754","0","-17.307","281.9125","42.044599511898745","-78.86906369366879",""
"2025-05-07 10:03:01","2.3131268","12.915732","39.564007","7.1010747","10.3264475","102.2866","0.034806952","2.864765","0","-17.284473","281.94592","42.04459951189875","-78.86906369366879",""
"2025-05-07 10:03:03","2.324328","12.962721","39.748234","7.110637","10.354205","102.66866","0.034906086","2.9509602","0.0029093213","-17.822117","282.38544","42.04459951189847","-78.86906369366874",""
"2025-05-07 10:03:05","2.324811","12.965004","39.753284","7.110762","10.355123","102.682915","0.03491298","2.95284","0.0030214784","-17.829254","282.42487","42.044599511898475","-78.86906369366875",""
"2025-05-07 10:03:07","2.325294","12.967286","39.758335","7.110887","10.35604","102.697174","0.034919877","2.95472","0.0031336353","-17.836391","282.4643","42.044599511898475","-78.86906369366875",""
"2025-05-07 10:03:09","2.3257768","12.969568","39.763382","7.1110125","10.356957","102.711426","0.034926772","2.9566002","0.0032457924","-17.84353","282.50372","42.04457888294617","-78.86906905105187",""
"2025-05-07 10:03:11","2.306493","13.001836","39.803955","7.097654","10.356571","102.786575","0.03554541","2.6838446","0.006376172","-17.098343","284.04733","42.04457888216533","-78.86906905159924",""
"2025-05-07 10:03:13","2.305893","13.003893","39.808517","7.097282","10.357001","102.795746","0.03557483","2.674335","0.0065456573","-17.07766","284.11514","42.044580152384235","-78.8690708311928",""
"2025-05-07 10:03:15","2.3052928","13.005951","39.813076","7.09691","10.357432","102.80491","0.035604253","2.6648257","0.006715143","-17.056978","284.18295","42.04458016248208","-78.8690708482733",""
"2025-05-07 10:03:17","2.3046927","13.008008","39.81764","7.096538","10.357862","102.81407","0.035633676","2.655316","0.0068846284","-17.036297","284.25076","42.04458788307748","-78.86907939595153",""
"2025-05-07 10:03:19","2.7590134","12.951052","39.278206","7.092111","10.321848","102.32868","0.038658775","2.7693143","0.00095206674","-16.785357","285.2674","42.0445879464618","-78.86907660910416",""
"2025-05-07 10:03:21","2.7765417","12.949358","39.257698","7.0917177","10.320431","102.31093","0.03878766","2.7693403","0.00077085075","-16.763273","285.33292","42.04459005897234","-78.8690761897378",""
