"Location Properties"
"Location Name = LT2"
"Location ID = 731683c1-f50f-401e-8516-0e9234fe7550"
"Latitude = 41.260929701342796 °"
"Longitude = -74.09578356657856 °"
""
"Report Properties"
"Start Time = 2025-09-16 15:08:19"
"Time Offset = -04:00:00"
"Duration = 00:12:50"
"Readings = 386"
""
"Instrument Properties"
"Device Model = Aqua TROLL 800"
"Device SN = 1155867"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 1153542"
""
""
"Date Time","Specific Conductivity (µS/cm) (1154450)","RDO Concentration (mg/L) (1147006)","RDO Saturation (%Sat) (1147006)","BGA-PC Fluorescence (RFU) (1142613)","Chlorophyll-a Fluorescence (RFU) (1151543)","pH (pH) (1112266)","pH mV (mV) (1112266)","ORP (mV) (1112266)","Turbidity (NTU) (1154355)","Temperature (°C) (1155867)","Barometric Pressure (mm Hg) (1155867)","Pressure (psi) (1147922)","Depth (m) (1147922)","External Voltage (V) (1155867)","Battery Capacity (%) (1155867)","Barometric Pressure (mbar) (1153542)","Temperature (°C) (1153542)","Latitude (°)","Longitude (°)","Marked"
"2025-09-16 15:13:31","85.63287","8.491717","100.00838","0.0079508545","0.029748235","7.1467648","-39.39233","175.94638","1.1821883","22.174402","741.05975","4.0734468","3.0732045","0","76","987.99896","24.958979","41.26853621381987","-74.08760261316617",""
"2025-09-16 15:13:33","85.63275","8.492248","100.01442","0.00766923","0.029762726","7.1456733","-39.330227","175.9979","1.1824173","22.174295","741.0598","4.073015","3.0729005","0","76","987.999","24.959328","41.26853446883496","-74.08760887206995",""
"2025-09-16 15:13:35","85.63263","8.492779","100.02046","0.007387605","0.029777218","7.1445813","-39.268124","176.04941","1.1826464","22.174189","741.0598","4.0725837","3.0725965","0","76","987.9991","24.959675","41.26853288899782","-74.0876043561854",""
"2025-09-16 15:13:37","85.619865","8.468156","99.72805","0.011372634","0.032203417","7.134956","-38.720375","176.58125","1.147015","22.172007","741.04706","4.0726624","3.0726762","0","76","987.98206","24.951044","41.26853159341619","-74.08760300075274",""
"2025-09-16 15:13:39","85.61931","8.467349","99.71842","0.011482291","0.032276362","7.1343126","-38.68377","176.6132","1.1458155","22.171913","741.0467","4.072575","3.072616","0","76","987.9815","24.950842","41.268533253391425","-74.08760485552699",""
"2025-09-16 15:13:41","85.618744","8.466542","99.7088","0.011591949","0.032349307","7.1336694","-38.647163","176.64516","1.144616","22.171818","741.04626","4.0724883","3.0725558","0","76","987.98096","24.95064","41.268534817033476","-74.08760614094902",""
"2025-09-16 15:13:43","85.61819","8.465735","99.69917","0.011701605","0.032422252","7.1330256","-38.610558","176.67711","1.1434166","22.171724","741.04584","4.0724015","3.0724955","0","76","987.9804","24.950436","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:45","85.64376","8.473254","99.80159","0.0035240413","0.02980371","7.151439","-39.658875","175.60858","1.1658807","22.179422","741.0521","4.0819693","3.0791757","0","76","987.98883","24.967306","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:47","85.64454","8.473124","99.80055","0.0032694896","0.029744435","7.151972","-39.689186","175.57704","1.1661347","22.179684","741.0522","4.0823374","3.0794332","0","76","987.98883","24.96782","41.2685357245245","-74.08761725814668",""
"2025-09-16 15:13:49","85.64531","8.472993","99.79951","0.0030149382","0.02968516","7.152504","-39.7195","175.54549","1.1663888","22.179945","741.0522","4.0827055","3.0796907","0","76","987.9889","24.968334","41.2685357245245","-74.08761725814668",""
