Location Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2025 18:03,19.410332,72.43486,2.0460608,64.70132,4.289815,48.966675,7.342937,-50.077263,154.08362,3.1340978,0.033407856,15455.675,0.99835175,0.04708266,0.022426499,0.013399229,724.5985,4.159769,7.357157,72.46328,0,73,966.0524,25.635256,42.10392255,-78.74663199,
9/23/2025 18:03,19.404139,72.45712,2.0393796,64.71271,4.237132,48.357258,7.33609,-49.690212,154.40196,3.134325,0.03341864,15452.944,0.998353,0.047097128,0.02233819,0.013321998,724.598,4.1600924,7.3569293,71.56226,0,73,966.0517,25.633606,42.10392255,-78.74663199,
9/23/2025 18:03,19.397945,72.47938,2.0326984,64.72409,4.184449,47.74784,7.3292437,-49.30316,154.72029,3.134552,0.03342942,15450.214,0.99835426,0.047111597,0.022249881,0.013244766,724.5975,4.160416,7.356702,70.66125,0,73,966.051,25.631956,42.10392255,-78.74663199,
9/23/2025 18:03,19.391752,72.50164,2.0260174,64.73547,4.131766,47.138428,7.3223968,-48.916107,155.03864,3.134779,0.033440206,15447.482,0.9983555,0.047126062,0.022161573,0.013167533,724.597,4.16074,7.356474,69.76023,0,73,966.05035,25.630304,42.10392255,-78.74663199,
9/23/2025 18:03,19.33301,72.619934,1.9155494,64.75952,3.4665382,39.506584,7.2306075,-43.736423,157.76419,3.1379533,0.033497315,15441.755,0.99836725,0.04720296,0.01552343,0.016011175,724.59045,4.1652145,7.353325,58.46998,0,73,966.0416,25.604944,42.10392255,-78.74663199,
9/23/2025 18:03,19.328987,72.63179,1.910749,64.764534,3.4237745,39.015015,7.224823,-43.409855,157.96349,3.1382477,0.033503048,15440.554,0.9983681,0.047210664,0.015156985,0.016128272,724.58997,4.1656322,7.3530307,57.742863,0,73,966.04095,25.603443,42.10392255,-78.74663199,
9/23/2025 18:03,19.324965,72.64364,1.9059485,64.769554,3.3810108,38.52345,7.219038,-43.083286,158.1628,3.1385422,0.033508785,15439.353,0.9983689,0.047218367,0.014790541,0.01624537,724.5895,4.16605,7.352737,57.01575,0,73,966.04034,25.601944,42.10392789,-78.74663277,
9/23/2025 18:03,19.320942,72.655495,1.9011481,64.774574,3.3382473,38.03188,7.2132535,-42.756718,158.3621,3.1388369,0.03351452,15438.152,0.9983697,0.04722607,0.014424096,0.016362468,724.589,4.1664677,7.3524427,56.28864,0,73,966.0397,25.600443,42.10392789,-78.74663277,
9/23/2025 18:03,19.201185,73.45086,2.130944,65.315285,2.8205981,32.061817,7.1380663,-38.50643,160.03888,3.9888875,0.03390019,15310.531,0.9983938,0.047743056,0.008429525,0.016055133,724.5699,5.374436,6.5023065,47.45942,0,73,966.0142,25.566523,42.10392789,-78.74663277,
9/23/2025 18:03,19.195257,73.48515,2.1380982,65.33755,2.7873824,31.679405,7.13334,-38.2394,160.15897,4.0229955,0.033916816,15305.274,0.99839497,0.047765348,0.008072848,0.016090842,724.569,5.422905,6.4681954,46.89381,0,73,966.01306,25.564693,42.10392789,-78.74663277,
9/23/2025 18:04,19.189331,73.51945,2.1452522,65.35982,2.7541666,31.296991,7.128613,-37.972366,160.27907,4.0571036,0.033933442,15300.018,0.99839616,0.04778764,0.007716171,0.016126549,724.56805,5.4713736,6.4340844,46.328197,0,73,966.01184,25.562864,42.10392789,-78.74663277,
9/23/2025 18:04,19.183405,73.55374,2.1524065,65.38208,2.7209506,30.914577,7.1238866,-37.705338,160.39915,4.091212,0.033950064,15294.761,0.99839735,0.047809932,0.007359494,0.016162258,724.5672,5.519842,6.3999734,45.762585,0,73,966.0107,25.561037,42.10392789,-78.74663277,
9/23/2025 18:04,18.559662,79.535126,4.994047,69.73866,1.9937413,22.388285,6.993365,-30.29543,56.72258,4.093167,0.03684915,14349.68,0.9985204,0.05169783,2.440355,1.4621956,724.59296,5.5224996,6.398103,33.169693,0,73,966.045,25.53558,42.10392789,-78.74663277,
9/23/2025 18:04,18.532509,79.78908,5.112004,69.922905,1.9550191,21.936132,6.9867477,-29.92011,52.589947,4.1076636,0.036972236,14309.533,0.99852574,0.0518629,2.5379758,1.5202768,724.5936,5.543095,6.3836083,32.501667,0,73,966.0459,25.533957,42.10392789,-78.74663277,
9/23/2025 18:04,18.505354,80.04302,5.22996,70.107155,1.9162971,21.48398,6.9801307,-29.544794,48.457314,4.12216,0.037095323,14269.387,0.9985311,0.052027967,2.6355963,1.5783579,724.59436,5.5636907,6.369114,31.833643,0,73,966.0468,25.532331,42.10392789,-78.74663277,
